Education,Marital_Status,Income,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Age,Spent,Living_With,Children,Total_Purchases,Total_Campaign,Cluster
3,4,46098.0,86,57,0,27,0,0,36,49,93,0,2,11,0,0
2,4,22585.0,23,3,9,15,13,2,39,54,66,0,0,5,1,0
2,4,30279.0,13,10,4,14,4,4,1,35,23,0,1,5,0,0
4,5,66426.0,14,1043,24,97,32,24,157,63,1280,1,1,20,0,3
2,4,30822.0,92,3,9,13,2,12,12,55,38,0,1,5,0,0
4,3,33581.0,38,11,0,5,0,0,1,55,12,1,2,4,0,1
2,3,19986.0,74,3,6,5,0,2,6,39,17,1,1,4,0,1
2,6,27421.0,14,43,12,96,78,40,55,70,228,0,0,14,0,0
0,3,35688.0,94,73,3,90,12,1,32,51,121,1,3,16,0,1
3,4,36143.0,33,12,0,1,0,0,6,43,18,0,1,4,0,0
2,4,10245.0,32,4,7,7,6,4,13,53,34,0,1,8,0,0
3,5,43795.0,11,314,11,53,4,3,107,56,439,1,1,17,1,1
2,5,63381.0,78,571,50,142,33,50,159,64,863,1,1,26,0,3
2,5,38823.0,56,70,0,11,2,8,23,75,103,1,1,7,0,1
4,2,83664.0,57,866,21,151,28,21,86,56,1022,0,2,19,0,2
2,5,90300.0,7,594,134,786,33,134,57,45,952,1,0,19,1,3
3,5,62499.0,0,140,4,61,0,13,4,45,161,1,1,12,0,1
2,4,74293.0,66,375,152,335,93,91,81,31,792,0,0,16,0,2
4,3,51012.0,86,102,9,63,2,9,24,78,146,1,0,10,0,1
3,3,70777.0,80,554,35,113,0,7,78,56,674,1,1,23,0,3
4,5,68682.0,56,919,0,505,99,30,45,33,1093,1,0,24,0,3
2,3,43824.0,18,96,1,42,12,3,32,53,144,1,2,12,0,1
2,5,15345.0,51,5,2,16,3,2,19,40,31,1,1,6,0,1
2,4,23442.0,71,2,0,6,8,6,5,37,21,0,1,5,0,0
0,5,14515.0,71,6,4,9,6,36,35,44,87,1,1,11,0,1
0,2,31395.0,80,23,1,25,0,8,7,68,39,0,2,10,0,0
2,5,75276.0,2,610,105,125,137,42,21,59,915,1,0,23,0,3
2,4,42373.0,83,67,5,61,3,8,19,50,102,0,2,13,0,0
2,5,30507.0,29,65,36,74,38,20,110,64,269,1,0,11,0,1
4,4,55521.0,11,416,0,26,0,0,4,69,420,0,3,24,1,0
2,3,48006.0,55,23,0,11,3,2,2,59,30,1,2,5,0,1
4,4,27213.0,19,19,3,26,10,9,3,52,44,0,1,9,0,0
4,2,65808.0,1,155,7,80,13,7,10,53,192,0,2,14,0,0
4,5,30351.0,19,14,0,24,3,3,2,50,22,1,1,6,0,1
2,3,50437.0,28,370,9,92,6,9,4,61,398,1,2,19,0,1
0,4,23616.0,76,4,22,11,3,7,32,42,68,0,1,8,0,0
2,3,53858.0,50,407,53,221,58,150,26,48,694,1,1,17,0,3
4,3,66465.0,1,1200,0,204,38,29,14,69,1281,1,1,35,1,3
2,4,46923.0,90,85,44,54,102,78,6,37,315,0,1,16,0,0
2,5,75072.0,83,583,34,309,0,22,125,62,764,1,1,19,0,3
4,3,75865.0,73,483,0,591,156,0,12,81,651,1,0,19,0,3
0,5,19789.0,24,2,5,9,28,6,28,49,69,1,1,9,1,1
2,5,80134.0,11,966,26,282,52,26,26,30,1096,1,0,21,4,3
2,4,91065.0,33,822,114,108,179,137,114,43,1366,0,0,26,2,2
3,3,49505.0,4,604,0,100,19,0,28,53,651,1,2,29,0,1
4,3,37401.0,14,19,3,19,3,1,3,51,29,1,1,7,0,1
2,3,30096.0,30,5,3,11,12,5,9,41,34,1,1,6,0,1
3,5,18492.0,75,2,2,2,2,1,1,42,8,1,1,4,0,1
3,3,82584.0,26,1076,68,103,29,91,68,50,1332,1,0,16,2,3
4,3,93027.0,77,1285,42,716,55,0,21,83,1403,1,0,22,1,3
2,3,48686.0,8,10,0,7,2,0,1,71,13,1,3,4,0,1
2,3,92910.0,42,551,137,792,179,103,33,38,1003,1,0,27,3,3
2,3,75433.0,28,800,0,297,0,34,57,35,891,1,1,19,2,3
0,5,10404.0,52,2,2,11,10,6,12,35,32,1,1,7,0,1
2,3,61314.0,1,378,0,189,97,172,172,56,819,1,1,24,0,3
4,4,84865.0,1,1248,16,349,43,16,16,63,1339,0,0,16,4,2
2,3,42387.0,42,235,0,235,19,4,191,35,449,1,1,21,0,1
0,5,67309.0,76,515,47,181,149,95,95,57,901,1,2,39,0,3
2,3,75236.0,27,438,66,400,12,38,114,60,668,1,1,25,0,3
2,4,30015.0,28,25,0,22,2,3,5,54,35,0,1,7,0,0
3,5,50943.0,49,31,0,7,2,0,6,68,39,1,1,5,0,1
2,2,67272.0,12,357,35,271,28,28,14,58,462,0,1,23,0,0
3,6,51529.0,14,400,4,35,6,0,22,75,432,0,1,17,0,0
4,3,32011.0,89,99,0,15,2,1,5,53,107,1,1,10,0,1
0,3,7500.0,96,1,11,5,4,6,9,38,31,1,1,7,0,1
2,3,28691.0,56,5,4,13,8,0,4,35,21,1,1,5,0,1
4,3,56223.0,72,77,28,31,16,0,4,76,125,1,1,10,0,1
2,3,18100.0,14,3,1,2,4,3,1,78,12,1,0,4,0,1
2,4,30279.0,13,10,4,14,4,4,1,35,23,0,1,5,0,0
0,3,20130.0,99,0,6,3,7,6,12,50,31,1,0,5,0,1
2,2,23295.0,72,0,0,1,2,12,5,65,19,0,0,4,0,0
3,2,42618.0,92,76,14,74,13,5,10,52,118,0,1,11,0,0
2,4,81246.0,87,398,190,537,61,156,37,60,842,0,0,17,2,2
2,3,24027.0,7,14,7,11,11,0,5,48,37,1,1,7,0,1
4,3,55707.0,91,208,7,82,30,66,35,71,346,1,1,16,0,1
2,4,57959.0,71,430,16,322,43,24,33,69,546,0,1,27,0,2
2,3,56796.0,24,656,38,161,62,47,37,55,840,1,1,27,0,3
3,4,36230.0,17,14,2,30,8,2,3,53,29,0,1,7,0,0
0,3,70829.0,87,141,70,106,72,19,23,44,325,1,2,16,0,1
2,3,65991.0,21,507,19,364,25,47,9,48,607,1,1,27,0,3
2,3,38988.0,90,164,24,103,12,3,42,52,245,1,3,19,0,1
0,4,89572.0,44,606,24,974,197,194,64,58,1085,0,0,24,2,2
3,3,42207.0,71,116,11,72,3,17,46,40,193,1,1,14,1,1
2,3,50300.0,52,143,15,60,24,23,5,72,210,1,1,13,0,1
0,5,66664.0,78,398,96,447,220,96,32,42,842,1,0,19,0,3
2,3,60597.0,2,522,0,257,32,16,66,60,636,1,1,16,1,3
2,6,70165.0,60,161,0,253,199,191,122,75,673,0,0,22,0,2
4,6,50520.0,25,112,0,6,2,1,14,66,129,0,1,9,0,0
2,3,80124.0,47,483,84,398,205,84,241,61,1097,1,0,19,1,3
2,3,33183.0,46,7,5,39,17,15,37,49,81,1,1,9,0,1
4,4,66582.0,83,789,25,420,16,38,0,55,868,0,0,20,0,2
4,5,75261.0,17,1239,17,413,23,34,17,69,1330,1,0,17,2,3
2,6,31880.0,13,4,1,5,2,0,3,54,10,0,1,4,0,0
2,3,53790.0,86,335,42,127,28,5,5,73,415,1,2,20,0,1
4,5,49269.0,92,639,8,166,11,8,58,53,724,1,1,25,0,3
2,3,61456.0,47,563,76,384,84,192,89,49,1004,1,1,33,0,3
2,3,37406.0,18,2,0,8,2,2,3,44,9,1,1,4,0,1
4,5,56937.0,81,746,8,125,11,8,8,43,781,1,1,30,1,3
2,3,38415.0,91,22,1,13,4,0,4,46,31,1,2,6,0,1
2,4,20518.0,58,4,1,6,4,1,9,36,19,0,1,5,0,0
2,3,62503.0,40,478,0,193,110,75,117,68,780,1,1,26,0,3
4,4,41644.0,67,20,3,4,2,0,2,52,27,0,2,6,0,0
3,3,55842.0,19,451,0,39,0,4,24,47,479,1,1,17,0,1
4,3,62010.0,93,371,22,39,6,0,92,52,491,1,1,19,0,1
2,3,41124.0,41,281,7,84,15,0,119,47,422,1,1,21,0,1
3,3,38961.0,60,19,7,19,0,1,24,51,51,1,1,6,0,1
3,2,37760.0,54,26,3,13,2,10,0,52,41,0,1,6,0,0
2,4,32233.0,26,138,15,35,25,11,72,50,261,0,1,12,1,0
2,3,43057.0,30,213,2,44,0,2,5,49,222,1,1,15,0,1
3,5,83151.0,93,407,28,100,120,74,18,64,647,1,0,19,0,3
4,2,78825.0,35,483,74,114,169,37,18,60,781,0,0,29,0,2
3,5,65104.0,4,738,0,232,13,20,50,48,821,1,1,17,0,3
2,3,60093.0,92,502,12,109,16,6,90,50,626,1,1,21,0,1
2,3,14045.0,24,11,0,5,2,1,1,55,15,1,1,5,0,1
0,6,28457.0,96,24,1,108,29,29,14,72,97,0,0,10,0,0
4,5,78952.0,11,1170,19,594,99,76,134,66,1498,1,1,21,0,3
2,2,46310.0,99,185,2,88,15,5,14,48,221,0,1,14,0,0
2,5,76005.0,72,983,20,389,240,50,40,69,1333,1,0,22,1,3
3,4,58308.0,77,691,0,69,10,0,130,60,831,0,1,15,0,2
4,2,55614.0,85,504,13,131,8,0,26,80,551,0,0,20,1,2
3,2,59432.0,88,317,25,265,25,19,12,62,398,0,1,22,0,0
2,2,55563.0,22,29,1,9,2,0,2,46,34,0,1,6,0,0
4,5,78642.0,83,1396,0,322,46,35,17,53,1494,1,1,18,0,3
4,5,67911.0,63,529,0,356,63,28,0,75,620,1,1,27,0,3
2,3,65275.0,9,388,14,218,91,14,21,80,528,1,0,21,0,3
2,5,27203.0,92,13,2,21,4,0,24,74,43,1,2,6,0,1
3,5,48330.0,2,28,0,4,0,0,0,63,28,1,1,5,0,1
1,3,24279.0,6,16,36,21,20,62,108,34,242,1,0,9,0,1
4,3,64355.0,66,1047,0,140,67,38,153,39,1305,1,1,21,0,3
3,5,50943.0,49,31,0,7,2,0,6,68,39,1,1,5,0,1
2,6,53653.0,29,815,10,239,28,10,108,71,971,0,0,28,0,2
2,3,65665.0,77,225,162,387,106,36,29,48,558,1,1,24,0,3
2,4,81217.0,77,493,70,324,146,40,84,35,833,0,0,22,0,2
2,3,34935.0,71,34,4,66,3,10,20,32,71,1,0,8,0,1
2,2,61250.0,49,382,138,65,60,26,59,65,665,0,1,25,0,2
4,5,39665.0,97,127,1,56,0,1,31,43,160,1,1,12,1,1
2,4,60152.0,6,325,83,300,86,58,91,45,643,0,1,23,0,2
2,3,48920.0,93,238,17,68,8,10,6,60,279,1,2,16,1,1
3,5,89120.0,78,1168,92,408,72,129,55,65,1516,1,0,19,1,3
4,5,44124.0,62,284,0,55,0,6,52,78,342,1,1,17,0,1
3,4,81169.0,47,1288,20,613,80,61,27,49,1476,0,0,22,0,2
2,3,36443.0,9,65,0,46,4,3,20,63,92,1,2,11,0,1
2,4,26095.0,77,11,7,9,3,1,11,34,33,0,1,5,0,0
2,5,71367.0,24,227,23,389,42,21,75,65,388,1,0,17,0,3
3,3,80184.0,19,1035,134,670,25,38,0,80,1232,1,0,20,2,3
2,2,30630.0,67,27,1,12,2,0,10,59,40,0,2,7,0,0
3,4,73454.0,95,982,73,351,56,14,175,37,1300,0,0,13,1,2
2,3,42691.0,48,179,2,64,38,17,58,33,294,1,0,13,0,1
2,3,70503.0,73,1379,33,216,0,33,66,71,1511,1,0,16,2,3
2,3,25545.0,35,32,1,64,16,12,85,37,146,1,1,10,0,1
2,3,32880.0,76,8,4,15,7,6,2,38,27,1,1,5,0,1
4,5,77863.0,20,881,38,319,16,25,12,66,972,1,0,20,0,3
3,3,50353.0,72,141,15,153,67,31,35,47,289,1,0,15,0,1
2,4,61839.0,20,1000,155,379,224,17,120,60,1516,0,0,17,0,2
4,3,49154.0,69,206,10,67,30,27,71,64,344,1,2,19,0,1
0,6,47682.0,80,162,61,83,97,57,61,49,438,0,1,19,0,0
2,4,72679.0,65,619,54,260,127,54,54,55,908,0,1,17,0,2
3,5,57954.0,52,456,4,24,0,0,9,47,469,1,2,23,1,1
2,3,65316.0,65,112,6,92,3,9,38,62,168,1,2,12,0,1
2,4,28567.0,57,11,3,22,2,2,6,42,24,0,1,7,0,0
3,5,47352.0,70,172,12,112,8,0,15,73,207,1,1,16,0,1
2,5,44931.0,0,78,0,11,0,0,7,57,85,1,1,7,0,1
2,2,76982.0,19,464,151,292,65,60,30,57,770,0,0,16,1,2
0,5,57247.0,50,99,4,32,37,54,6,72,200,1,1,12,0,1
3,4,22944.0,67,19,3,19,4,5,26,43,57,0,1,9,0,0
0,5,25315.0,46,1,9,8,11,3,22,47,46,1,1,9,0,1
2,6,43638.0,37,63,10,83,7,19,19,55,118,0,1,11,0,0
4,4,42710.0,38,252,3,42,4,3,102,40,364,0,1,14,0,0
4,3,84169.0,9,1478,19,403,0,19,0,42,1516,1,0,20,2,3
2,5,54058.0,56,198,18,252,32,108,54,48,410,1,1,20,0,1
0,3,24683.0,98,8,4,10,6,7,6,34,31,1,1,8,0,1
2,6,85620.0,68,416,46,925,60,107,46,60,675,0,0,14,0,2
2,3,47850.0,72,42,7,43,20,12,10,44,91,1,1,8,0,1
2,3,19514.0,47,14,3,21,2,1,28,56,48,1,2,10,1,1
3,3,27159.0,33,17,0,3,0,0,1,51,18,1,2,6,0,1
0,4,39548.0,87,15,4,10,3,4,18,61,44,0,2,7,0,0
2,4,21474.0,0,6,16,24,11,0,34,35,67,0,1,8,1,0
4,4,60504.0,73,458,0,24,6,4,34,53,502,0,1,18,0,0
2,3,22419.0,74,30,3,47,19,21,42,61,115,1,0,8,0,1
3,3,81698.0,4,179,28,520,111,123,47,75,488,1,0,25,0,3
2,5,43462.0,50,90,17,97,15,6,15,72,143,1,2,16,0,1
4,4,54880.0,57,308,85,137,102,45,118,46,658,0,1,21,0,2
2,3,79908.0,30,557,129,761,29,185,111,42,1011,1,0,19,1,3
0,3,15315.0,27,7,4,13,15,8,17,54,51,1,0,8,0,1
2,5,87771.0,61,1492,38,287,50,57,33,65,1670,1,1,20,4,3
2,3,33039.0,4,30,8,12,8,8,12,46,66,1,1,7,0,1
2,4,81741.0,75,249,153,940,58,134,38,44,632,0,0,19,0,2
3,5,71499.0,12,465,25,132,136,0,37,53,663,1,1,26,0,3
0,3,62466.0,13,129,129,259,168,121,83,54,630,1,1,26,0,3
4,2,48799.0,9,174,18,81,28,6,24,61,250,0,1,15,0,0
4,5,52157.0,48,189,2,29,3,2,40,74,236,1,1,12,0,1
2,4,66565.0,80,747,10,161,65,40,42,62,904,0,1,19,0,2
3,5,29298.0,60,6,0,2,2,0,1,73,9,1,2,4,0,1
2,4,47691.0,43,14,0,3,0,0,4,45,18,0,1,4,0,0
2,5,38200.0,19,12,0,4,0,0,1,54,13,1,2,4,0,1
2,3,44989.0,26,98,0,106,49,10,106,50,263,1,1,16,0,1
4,3,38443.0,58,32,0,5,0,0,1,56,33,1,2,6,0,1
0,4,38593.0,42,51,12,49,17,24,24,46,128,0,1,11,0,0
4,5,64413.0,27,200,5,44,0,10,20,54,235,1,1,12,0,1
3,3,36959.0,56,25,6,25,6,0,0,43,37,1,1,7,0,1
4,3,61996.0,27,1050,12,144,0,0,24,47,1086,1,1,21,3,3
2,3,51287.0,10,117,0,22,13,0,30,56,160,1,2,11,0,1
2,3,13260.0,48,9,4,17,10,2,7,54,32,1,2,10,0,1
4,5,47472.0,39,56,0,11,0,0,8,58,64,1,2,8,0,1
3,5,54603.0,85,145,13,46,17,2,4,68,181,1,2,16,0,1
4,3,45207.0,64,203,0,10,0,0,2,50,205,1,2,15,1,1
2,5,40689.0,69,270,3,27,39,6,99,73,417,1,1,20,0,1
0,5,47821.0,54,9,0,16,6,6,10,57,31,1,2,5,0,1
3,3,27450.0,57,37,12,23,8,11,52,73,120,1,0,7,0,1
2,5,39453.0,64,46,0,7,0,0,2,41,48,1,1,7,0,1
0,5,26850.0,10,31,1,13,7,2,9,53,50,1,2,11,0,1
2,6,79800.0,65,1060,21,530,32,0,224,69,1337,0,0,22,3,2
3,3,61794.0,74,264,47,188,54,47,11,63,423,1,1,20,0,1
2,5,53863.0,4,399,4,30,6,4,30,69,443,1,1,18,1,1
2,5,24221.0,94,8,9,9,2,5,22,65,46,1,0,6,0,1
4,4,39684.0,41,19,0,35,6,4,17,40,46,0,1,7,0,0
3,3,92163.0,25,817,183,797,106,163,20,49,1289,1,0,21,2,3
3,4,69882.0,94,292,127,635,132,127,165,59,843,0,0,20,0,2
2,5,33178.0,9,12,6,2,11,2,16,47,47,1,1,5,0,1
4,3,59973.0,47,130,30,168,20,34,0,52,214,1,0,15,0,1
3,5,17459.0,12,6,4,16,3,10,30,49,53,1,1,9,0,1
2,2,23910.0,80,16,12,18,7,1,13,55,49,0,1,6,0,0
3,3,42169.0,20,19,0,9,0,0,2,55,21,1,2,6,0,1
0,3,26224.0,39,4,7,15,13,9,15,46,48,1,1,9,0,1
2,5,31089.0,57,31,3,31,2,8,4,43,48,1,1,10,0,1
2,4,30081.0,27,36,0,2,0,0,4,63,40,0,1,5,0,0
2,5,62807.0,83,526,28,135,10,21,99,64,684,1,1,23,0,3
2,4,72906.0,79,400,32,519,71,75,54,69,632,0,0,17,0,2
4,3,61467.0,69,410,16,114,0,5,49,76,480,1,2,20,0,1
3,5,49618.0,77,80,3,26,4,2,14,58,103,1,2,11,0,1
3,4,21888.0,15,88,10,46,2,3,64,38,167,0,1,12,0,0
2,6,42429.0,99,55,0,6,2,0,4,51,61,0,1,7,0,0
2,2,26150.0,61,5,1,13,3,5,1,68,15,0,3,5,0,0
1,3,30801.0,23,8,4,5,15,2,11,49,40,1,1,6,0,1
2,3,81168.0,84,410,0,592,147,22,22,59,601,1,0,18,1,3
3,4,26877.0,74,101,13,76,20,18,40,55,192,0,0,12,0,0
3,6,45006.0,90,162,25,53,16,0,10,80,213,0,0,12,0,0
1,3,18978.0,41,2,8,1,4,7,15,51,36,1,1,5,0,1
2,3,22574.0,28,25,0,8,2,0,2,57,29,1,3,7,0,1
4,4,48240.0,73,389,91,248,64,49,41,55,634,0,0,25,0,2
2,3,45837.0,88,215,13,87,17,17,24,50,286,1,2,18,0,1
3,4,35791.0,94,27,0,5,0,0,3,59,30,0,3,6,0,0
4,5,162397.0,31,85,1,16,2,1,2,48,91,1,2,1,0,1
2,6,54162.0,31,5,6,10,6,5,10,46,32,0,2,5,0,0
3,3,30522.0,6,179,8,83,19,11,26,64,243,1,1,17,0,1
4,3,54456.0,23,352,0,27,10,0,15,63,377,1,1,17,0,1
2,4,31632.0,92,17,8,12,11,15,32,53,83,0,0,6,0,0
2,6,72298.0,52,625,35,169,58,17,35,75,770,0,0,14,2,2
0,4,36975.0,50,10,6,11,0,4,2,46,22,0,1,5,0,0
0,3,72635.0,54,390,22,323,104,35,107,69,658,1,0,21,1,3
2,3,13624.0,93,10,2,15,2,1,6,48,21,1,1,7,0,1
2,4,84196.0,56,215,63,507,231,31,190,49,730,0,1,20,0,2
2,5,70971.0,28,1001,17,572,93,125,17,64,1253,1,1,34,0,3
4,2,34487.0,94,19,18,33,24,1,8,47,70,0,2,9,0,0
2,4,28769.0,76,41,5,129,10,3,3,47,62,0,1,12,0,0
4,3,69084.0,43,1181,107,199,39,30,30,54,1387,1,1,25,0,3
4,5,65488.0,46,603,45,207,36,18,54,66,756,1,0,14,0,3
0,3,62466.0,13,129,129,259,168,121,83,54,630,1,1,26,0,3
0,4,32218.0,27,10,24,15,13,1,30,64,78,0,0,7,1,0
2,4,83917.0,12,514,22,732,42,198,79,51,855,0,0,21,0,2
2,2,46102.0,3,14,0,1,0,0,1,62,15,0,3,4,0,0
2,4,84574.0,72,387,20,713,38,54,163,72,662,0,0,32,0,2
2,3,56181.0,6,121,103,69,8,44,48,62,324,1,1,14,0,1
3,2,63120.0,53,965,69,279,54,41,69,74,1198,0,1,26,0,2
2,3,73691.0,58,707,21,250,85,43,73,53,929,1,1,18,1,3
2,5,63381.0,78,571,50,142,33,50,159,64,863,1,1,26,0,3
4,5,76140.0,57,586,66,653,17,0,26,76,695,1,0,21,0,3
4,2,62859.0,37,1063,89,102,16,12,25,65,1205,0,1,23,0,2
2,4,45906.0,20,305,3,27,4,3,144,60,459,0,1,15,1,0
3,5,77632.0,73,1200,105,758,0,42,147,77,1494,1,0,13,2,3
4,3,46463.0,56,163,2,40,8,11,11,53,195,1,2,17,0,1
2,5,105471.0,36,1009,181,104,202,21,207,54,1620,1,0,30,2,3
3,2,55282.0,9,125,6,73,8,4,19,54,162,0,1,11,0,0
3,3,78710.0,42,721,0,152,119,50,50,47,940,1,1,28,0,3
2,5,66886.0,28,315,4,62,41,31,146,66,537,1,1,17,0,1
3,4,98777.0,23,1000,19,711,125,115,38,64,1297,0,0,19,1,2
2,5,29103.0,38,16,0,17,6,3,6,39,31,1,1,6,0,1
2,3,67445.0,63,757,80,217,29,80,11,50,957,1,1,32,0,3
4,5,50616.0,71,30,2,25,0,1,9,74,42,1,1,7,0,1
2,2,49431.0,9,219,3,100,26,0,17,69,265,0,1,15,0,0
2,2,153924.0,81,1,1,1,1,1,1,49,5,0,0,0,0,0
2,5,61278.0,87,111,3,28,2,6,15,71,137,1,1,10,0,1
0,5,26490.0,92,45,47,52,21,20,25,66,158,1,0,11,0,1
4,5,73059.0,36,410,112,420,0,82,71,77,675,1,1,26,0,3
4,4,46734.0,86,100,1,39,6,1,76,58,184,0,3,12,1,0
2,5,56253.0,83,509,0,65,7,11,5,61,532,1,1,22,0,1
2,3,19986.0,74,3,6,5,0,2,6,39,17,1,1,4,0,1
2,6,58330.0,87,445,53,213,104,98,151,49,851,0,1,24,0,2
1,3,25965.0,29,2,2,11,41,7,11,44,63,1,0,6,0,1
3,5,14661.0,88,4,1,11,6,2,2,68,15,1,0,5,0,1
2,3,18690.0,77,6,1,7,23,4,19,65,53,1,0,5,0,1
4,5,45068.0,25,14,0,3,0,0,3,50,17,1,1,4,0,1
1,4,21063.0,34,1,10,11,19,3,15,37,48,0,1,7,0,0
4,3,29187.0,43,26,0,6,0,0,2,56,28,1,1,5,0,1
0,3,54690.0,76,111,16,37,7,9,18,53,161,1,2,12,0,1
4,3,59304.0,81,418,61,428,80,51,10,60,620,1,1,28,0,3
3,4,59247.0,87,327,9,122,19,14,83,62,452,0,2,21,0,0
2,6,66731.0,33,371,159,194,58,106,141,54,835,0,1,17,0,2
2,3,77353.0,38,275,59,107,69,101,59,44,563,1,1,20,0,3
4,4,52614.0,63,789,0,142,12,9,38,49,848,0,1,16,0,2
2,3,26751.0,26,1,1,5,0,3,1,50,6,1,2,4,0,1
4,3,81300.0,17,1004,12,145,32,12,36,61,1096,1,1,21,1,3
2,4,70337.0,75,187,81,149,25,43,91,45,427,0,0,17,0,2
0,3,36145.0,13,56,4,76,17,1,18,39,96,1,1,12,1,1
4,4,65295.0,19,365,32,117,34,110,6,44,547,0,0,20,0,2
2,2,68118.0,51,595,23,123,10,23,154,61,805,0,1,23,0,2
2,2,68743.0,81,1132,134,384,175,134,115,57,1690,0,0,30,0,2
0,5,41039.0,32,34,11,137,179,61,45,42,330,1,0,15,0,3
2,5,38946.0,84,116,6,82,6,6,41,69,175,1,1,12,0,1
2,5,65777.0,87,565,32,435,28,32,54,57,711,1,0,17,0,3
4,2,66476.0,99,372,18,126,47,48,78,48,563,0,1,20,0,2
4,4,86857.0,96,899,102,838,133,102,40,52,1276,0,0,22,0,2
4,3,160803.0,21,55,16,1622,17,3,4,42,95,1,0,44,0,3
4,5,77845.0,40,760,40,480,0,40,26,35,866,1,0,21,2,3
4,5,69476.0,3,260,86,559,63,9,67,55,485,1,0,15,0,3
4,2,50611.0,98,459,0,24,6,0,4,64,469,0,1,22,1,0
2,4,61209.0,73,466,0,224,119,49,99,54,733,0,0,13,0,2
3,5,42315.0,90,67,15,80,17,11,80,66,190,1,1,12,0,1
1,5,13084.0,29,2,0,7,3,7,10,72,22,1,0,5,0,1
3,6,47570.0,3,67,1,20,0,2,31,75,101,0,2,9,0,0
3,3,61923.0,94,92,4,18,3,3,6,63,108,1,2,8,0,1
2,4,34824.0,65,4,2,11,2,0,4,29,12,0,0,4,0,0
4,4,26518.0,33,20,1,28,3,3,2,75,29,0,2,8,0,0
2,4,45938.0,46,273,11,178,62,83,29,63,458,0,0,20,0,2
2,5,78468.0,29,434,22,388,104,22,34,64,616,1,0,28,1,3
2,2,78901.0,99,321,11,309,33,26,34,51,425,0,1,20,0,0
2,3,71427.0,26,212,123,177,15,64,23,46,437,1,2,20,0,1
2,2,71022.0,30,909,12,278,0,12,242,46,1175,0,1,21,1,2
3,4,90247.0,27,1184,32,352,21,16,16,36,1269,0,0,15,3,2
3,2,41335.0,24,112,19,21,16,14,5,56,166,0,1,12,0,0
2,3,71952.0,93,656,80,455,52,107,93,38,988,1,1,22,2,3
4,2,35682.0,34,23,0,8,6,2,18,54,49,0,1,6,0,0
2,2,43185.0,88,537,6,42,16,6,30,73,595,0,1,20,0,0
4,5,66375.0,96,712,0,45,0,0,191,76,903,1,1,14,1,3
3,3,35178.0,10,23,1,13,2,2,18,53,46,1,1,5,1,1
2,3,25252.0,26,1,3,4,2,2,6,38,14,1,1,4,0,1
3,4,55250.0,49,664,58,83,32,0,66,59,820,0,1,26,0,2
2,4,33249.0,11,6,10,21,19,14,42,49,91,0,1,8,0,0
2,5,58398.0,44,299,5,201,21,21,49,71,395,1,0,20,0,1
2,5,50272.0,75,99,13,66,43,8,4,42,167,1,1,13,0,1
4,3,76618.0,64,749,40,294,121,160,147,49,1217,1,0,11,0,3
0,2,87305.0,19,345,25,501,63,138,80,64,651,0,0,17,1,2
2,5,25851.0,45,9,4,18,7,5,5,46,30,1,1,7,0,1
2,2,58710.0,77,440,81,368,0,122,174,54,817,0,1,31,0,2
2,4,45160.0,9,8,2,5,3,0,3,66,16,0,2,4,0,0
3,3,74806.0,1,670,9,249,0,28,9,59,716,1,1,16,0,3
2,3,59111.0,90,524,0,134,28,28,155,70,735,1,0,21,0,3
4,3,18988.0,43,6,0,6,2,1,1,40,10,1,1,6,0,1
2,3,72190.0,79,597,166,597,172,166,249,59,1350,1,0,16,0,3
2,3,7500.0,19,7,0,12,13,7,32,48,59,1,1,12,1,1
2,3,44794.0,99,54,0,7,0,0,4,58,58,1,1,6,0,1
2,3,80395.0,62,445,25,706,80,76,48,69,674,1,0,24,1,3
3,2,75012.0,41,294,142,218,164,58,151,48,809,0,0,23,0,2
3,3,56962.0,60,292,3,77,10,3,26,59,334,1,3,21,0,1
2,5,89891.0,17,412,22,132,59,28,183,33,704,1,0,26,1,3
4,2,35946.0,24,8,0,3,0,0,0,75,8,0,2,4,0,0
4,5,53593.0,60,349,4,78,6,0,43,71,402,1,2,23,0,1
2,3,66373.0,57,328,9,124,12,24,109,46,482,1,2,23,0,1
4,2,45072.0,74,144,2,99,7,2,30,76,185,0,3,16,0,0
2,2,89694.0,22,1126,28,211,37,28,42,51,1261,0,2,14,3,2
2,3,72025.0,46,967,0,617,43,50,0,75,1060,1,0,26,3,3
2,3,67432.0,69,432,79,341,177,136,170,51,994,1,1,19,0,3
3,5,70545.0,29,138,39,63,55,18,21,72,271,1,1,13,0,1
1,3,17487.0,37,0,0,1,7,4,6,35,17,1,1,4,0,1
2,5,62882.0,26,509,133,497,78,24,97,55,841,1,1,20,0,3
4,4,64108.0,8,948,10,86,13,21,21,71,1013,0,1,30,0,2
3,5,34941.0,26,39,2,25,4,3,24,68,72,1,2,8,0,1
4,4,48767.0,79,28,1,21,3,0,10,74,42,0,3,9,0,0
0,5,38702.0,71,13,11,24,13,8,40,46,85,1,1,9,0,1
2,3,82224.0,83,307,26,360,138,31,40,60,542,1,0,21,1,3
2,5,83844.0,57,901,31,345,75,31,191,72,1229,1,0,20,1,3
0,3,17003.0,37,2,5,12,4,8,7,49,26,1,1,9,0,1
2,4,71163.0,30,283,17,372,138,106,44,29,588,0,0,24,0,2
2,4,33697.0,34,4,3,7,0,3,11,54,21,0,1,4,1,0
